Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\CANtact\Project Outputs for CANtact\Pick Place for CANtact.csv

========================================================================================================================
File Design Information:

Date:       11/11/19
Time:       00:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","XC6206P332MR","TopLayer","SOT23_N","28.8036","-6.7310","270","3V3 200mA, LDO regulator (Low ESR ceramic caps)"
"D2","LED Red","TopLayer","LED1608-0603-RED","22.8092","7.8740","180","LED 0603 Red"
"D1","LED Green","TopLayer","LED1608-0603-GREEN","22.8092","6.3500","180","LED 0603 Green"
"C2","1uF","TopLayer","CCNP1608-0603","3.4290","-2.9464","90","Capacitor non-polar SMT 0603"
"Z1","USBLC6-2SC6","TopLayer","SOT23-6_N","-0.0508","0.0000","180","TVS diode array for USB"
"R7","5.1K","TopLayer","CR1608-0603","-0.4976","-6.0350","360","Resistor SMT 0603"
"R6","5.1K","TopLayer","CR1608-0603","0.2842","4.9530","360","Resistor SMT 0603"
"C13","100nF","TopLayer","CCNP1608-0603","0.2842","3.2512","360","Capacitor non-polar SMT 0603"
"S1","SMD-SW-4_5.1x5.1x2.0","TopLayer","SMD-SW-4_5.1x5.1x2.0","16.6370","-6.8072","360","Tactile Switch SPST 5.10mm X 5.10mm"
"Y1","16 MHz","TopLayer","Crystal_SMD_3.2x2.5","18.2880","0.7620","90","Crystal SMD 3.2 x 2.5 x 0.7 mm"
"C11","1uF","TopLayer","CCNP1608-0603","32.2834","-6.8834","90","Capacitor non-polar SMT 0603"
"C1","1uF","TopLayer","CCNP1608-0603","25.4254","-6.9088","90","Capacitor non-polar SMT 0603"
"C3","100nF","TopLayer","CCNP1608-0603","14.3510","-2.1844","360","Capacitor non-polar SMT 0603"
"C4","100nF","TopLayer","CCNP1608-0603","6.8580","8.1788","360","Capacitor non-polar SMT 0603"
"C5","100nF","TopLayer","CCNP1608-0603","15.6210","4.6990","270","Capacitor non-polar SMT 0603"
"C6","100nF","TopLayer","CCNP1608-0603","4.6990","-2.9464","270","Capacitor non-polar SMT 0603"
"C8","100nF","TopLayer","CCNP1608-0603","25.7810","0.6350","270","Capacitor non-polar SMT 0603"
"C9","18pF","TopLayer","CCNP1608-0603","21.0820","-0.7865","270","Capacitor non-polar SMT 0603"
"C10","18pF","TopLayer","CCNP1608-0603","21.0820","2.3828","270","Capacitor non-polar SMT 0603"
"J1","USB4085-GF-A","TopLayer","USB4085-GF-A","-5.1462","0.0000","0","USB-C, USB 2.0 Receptacle Connector 16 Position Through Hole, Right Angle"
"R1","1K","TopLayer","CR1608-0603","19.2650","6.3500","0","Resistor SMT 0603"
"R2","1K","TopLayer","CR1608-0603","19.2650","7.8740","0","Resistor SMT 0603"
"R3","510R","TopLayer","CR1608-0603","12.0142","-6.0706","270","Resistor SMT 0603"
"U1","STM32F042C6T6","TopLayer","TSQFP50P900X900-48N","9.1440","2.1590","180","ARM Microcontroller with CAN"
"JP2","PIN2X1","TopLayer","HDR1X2S","38.7350","6.7310","360",""
"R4","60R4","TopLayer","CR2012-0805","34.5440","6.7310","270","Resistor SMT 0805"
"P1","SWD2X5","TopLayer","SWD-2x5","5.4610","-6.8580","180","SWD Connector 2x5-Pin"
"P2","Terminal4_BUCHANAN","TopLayer","TYCO-282834-4","39.4970","0.0000","90","2.54mm Terminal Block"
"Rx","TP","TopLayer","PCBPIN_-_0.7MM","27.6860","-3.5560","0","Test Point"
"Tx","TP","TopLayer","PCBPIN_-_0.7MM","24.1300","-3.5560","0","Test Point"
"Gnd","TP","TopLayer","PCBPIN_-_0.7MM","21.7932","-5.4610","0","Test Point"
"C7","4n7","TopLayer","CCNP2012-0805","32.3850","6.7310","270","Capacitor non-polar SMT 0805"
"JP1","PIN2X1","TopLayer","HDR1X2S","38.7350","-6.7310","360",""
"R5","60R4","TopLayer","CR2012-0805","34.5440","-6.8580","270","Resistor SMT 0805"
"U2","MCP2562-E/SN","TopLayer","SO-8_L","30.4800","0.8890","270","CAN Tranceiver"
"C12","100nF","TopLayer","CCNP1608-0603","32.5834","-2.8702","360","Capacitor non-polar SMT 0603"
